"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"IRL","LTINT","TOT","PC_PA","M","2014-02",3.24,
"IRL","LTINT","TOT","PC_PA","M","2014-03",3.05,
"IRL","LTINT","TOT","PC_PA","M","2014-04",2.9,
"IRL","LTINT","TOT","PC_PA","M","2014-05",2.71,
"IRL","LTINT","TOT","PC_PA","M","2014-06",2.44,
"IRL","LTINT","TOT","PC_PA","M","2014-07",2.28,
"IRL","LTINT","TOT","PC_PA","M","2014-08",2.02,
"IRL","LTINT","TOT","PC_PA","M","2014-09",1.75,
"IRL","LTINT","TOT","PC_PA","M","2014-10",1.74,
"IRL","LTINT","TOT","PC_PA","M","2014-11",1.58,
"IRL","LTINT","TOT","PC_PA","M","2014-12",1.31,
"IRL","LTINT","TOT","PC_PA","M","2015-01",1.22,
"IRL","LTINT","TOT","PC_PA","M","2015-02",1.12,
"IRL","LTINT","TOT","PC_PA","M","2015-03",0.8,
"IRL","LTINT","TOT","PC_PA","M","2015-04",0.73,
"IRL","LTINT","TOT","PC_PA","M","2015-05",1.25,
"IRL","LTINT","TOT","PC_PA","M","2015-06",1.65,
"IRL","LTINT","TOT","PC_PA","M","2015-07",1.47,
"IRL","LTINT","TOT","PC_PA","M","2015-08",1.29,
"IRL","LTINT","TOT","PC_PA","M","2015-09",1.31,
"IRL","LTINT","TOT","PC_PA","M","2015-10",1.14,
"IRL","LTINT","TOT","PC_PA","M","2015-11",1.1,
"IRL","LTINT","TOT","PC_PA","M","2015-12",1.11,
"IRL","LTINT","TOT","PC_PA","M","2016-01",1.05,
"IRL","LTINT","TOT","PC_PA","M","2016-02",0.99,
"IRL","LTINT","TOT","PC_PA","M","2016-03",0.85,
"IRL","LTINT","TOT","PC_PA","M","2016-04",0.86,
"IRL","LTINT","TOT","PC_PA","M","2016-05",0.84,
"IRL","LTINT","TOT","PC_PA","M","2016-06",0.76,
"IRL","LTINT","TOT","PC_PA","M","2016-07",0.47,
"IRL","LTINT","TOT","PC_PA","M","2016-08",0.4,
"IRL","LTINT","TOT","PC_PA","M","2016-09",0.42,
"IRL","LTINT","TOT","PC_PA","M","2016-10",0.5,
"IRL","LTINT","TOT","PC_PA","M","2016-11",0.85,
"IRL","LTINT","TOT","PC_PA","M","2016-12",0.84,
"IRL","LTINT","TOT","PC_PA","M","2017-01",0.99,
"IRL","LTINT","TOT","PC_PA","M","2017-02",1.06,
"IRL","LTINT","TOT","PC_PA","M","2017-03",1.05,
"IRL","LTINT","TOT","PC_PA","M","2017-04",0.91,
"IRL","LTINT","TOT","PC_PA","M","2017-05",0.83,
"IRL","LTINT","TOT","PC_PA","M","2017-06",0.7,
"IRL","LTINT","TOT","PC_PA","M","2017-07",0.87,
"IRL","LTINT","TOT","PC_PA","M","2017-08",0.73,
"IRL","LTINT","TOT","PC_PA","M","2017-09",0.7,
"IRL","LTINT","TOT","PC_PA","M","2017-10",0.66,
"IRL","LTINT","TOT","PC_PA","M","2017-11",0.58,
"IRL","LTINT","TOT","PC_PA","M","2017-12",0.54,
"IRL","LTINT","TOT","PC_PA","M","2018-01",0.913,
"IRL","LTINT","TOT","PC_PA","M","2018-02",1.13,
"IRL","LTINT","TOT","PC_PA","M","2018-03",1.006,
"IRL","LTINT","TOT","PC_PA","M","2018-04",0.94,
"IRL","LTINT","TOT","PC_PA","M","2018-05",0.982,
"IRL","LTINT","TOT","PC_PA","M","2018-06",0.92,
"IRL","LTINT","TOT","PC_PA","M","2018-07",0.83,
"IRL","LTINT","TOT","PC_PA","M","2018-08",0.862,
"IRL","LTINT","TOT","PC_PA","M","2018-09",0.933,
"IRL","LTINT","TOT","PC_PA","M","2018-10",1.008,
"IRL","LTINT","TOT","PC_PA","M","2018-11",0.983,
"IRL","LTINT","TOT","PC_PA","M","2018-12",0.909,
"IRL","LTINT","TOT","PC_PA","M","2019-01",0.935,
"IRL","LTINT","TOT","PC_PA","M","2019-02",0.856,
"IRL","LTINT","TOT","PC_PA","M","2019-03",0.668,
"IRL","LTINT","TOT","PC_PA","M","2019-04",0.56,
"IRL","LTINT","TOT","PC_PA","M","2019-05",0.499,
"IRL","LTINT","TOT","PC_PA","M","2019-06",0.2714,
"IRL","LTINT","TOT","PC_PA","M","2019-07",0.132,
"IRL","LTINT","TOT","PC_PA","M","2019-08",-0.051,
"IRL","LTINT","TOT","PC_PA","M","2019-09",-0.01,
"IRL","LTINT","TOT","PC_PA","M","2019-10",0.016,
"IRL","LTINT","TOT","PC_PA","M","2019-11",0.073,
"IRL","LTINT","TOT","PC_PA","M","2019-12",0.037,
"IRL","LTINT","TOT","PC_PA","M","2020-01",0.004,
"IRL","LTINT","TOT","PC_PA","M","2020-02",-0.131,
"IRL","LTINT","TOT","PC_PA","M","2020-03",0.07,
"IRL","LTINT","TOT","PC_PA","M","2020-04",0.2012,
"IRL","LTINT","TOT","PC_PA","M","2020-05",0.1072,
"IRL","LTINT","TOT","PC_PA","M","2020-06",0.0835,
"IRL","LTINT","TOT","PC_PA","M","2020-07",-0.0473,
"IRL","LTINT","TOT","PC_PA","M","2020-08",-0.1219,
"IRL","LTINT","TOT","PC_PA","M","2020-09",-0.1276,
"IRL","LTINT","TOT","PC_PA","M","2020-10",-0.2224,
"IRL","LTINT","TOT","PC_PA","M","2020-11",-0.251,
"IRL","LTINT","TOT","PC_PA","M","2020-12",-0.2903,
"IRL","LTINT","TOT","PC_PA","M","2021-01",-0.2418,
"IRL","LTINT","TOT","PC_PA","M","2021-02",-0.0551,
"IRL","LTINT","TOT","PC_PA","M","2021-03",0.0276,
"IRL","LTINT","TOT","PC_PA","M","2021-04",0.082,
"IRL","LTINT","TOT","PC_PA","M","2021-05",0.2372,
"IRL","LTINT","TOT","PC_PA","M","2021-06",0.1787,
"IRL","LTINT","TOT","PC_PA","M","2021-07",0.0309,
"IRL","LTINT","TOT","PC_PA","M","2021-08",-0.0788,
"IRL","LTINT","TOT","PC_PA","M","2021-09",0.0674,
"IRL","LTINT","TOT","PC_PA","M","2021-10",0.2224,
"IRL","LTINT","TOT","PC_PA","M","2021-11",0.1876,
"IRL","LTINT","TOT","PC_PA","M","2021-12",0.0998,
"DEU","LTINT","TOT","PC_PA","M","2007-01",4.016818,
"DEU","LTINT","TOT","PC_PA","M","2007-02",4.049,
"DEU","LTINT","TOT","PC_PA","M","2007-03",3.940909,
"DEU","LTINT","TOT","PC_PA","M","2007-04",4.152105,
"DEU","LTINT","TOT","PC_PA","M","2007-05",4.279047,
"DEU","LTINT","TOT","PC_PA","M","2007-06",4.560476,
"DEU","LTINT","TOT","PC_PA","M","2007-07",4.505,
"DEU","LTINT","TOT","PC_PA","M","2007-08",4.296522,
"DEU","LTINT","TOT","PC_PA","M","2007-09",4.226,
"DEU","LTINT","TOT","PC_PA","M","2007-10",4.282609,
"DEU","LTINT","TOT","PC_PA","M","2007-11",4.089091,
"DEU","LTINT","TOT","PC_PA","M","2007-12",4.205883,
"DEU","LTINT","TOT","PC_PA","M","2008-01",4.027727,
"DEU","LTINT","TOT","PC_PA","M","2008-02",3.952857,
"DEU","LTINT","TOT","PC_PA","M","2008-03",3.799474,
"DEU","LTINT","TOT","PC_PA","M","2008-04",4.04,
"DEU","LTINT","TOT","PC_PA","M","2008-05",4.201905,
"DEU","LTINT","TOT","PC_PA","M","2008-06",4.520476,
"DEU","LTINT","TOT","PC_PA","M","2008-07",4.490435,
"DEU","LTINT","TOT","PC_PA","M","2008-08",4.202381,
"DEU","LTINT","TOT","PC_PA","M","2008-09",4.094091,
"DEU","LTINT","TOT","PC_PA","M","2008-10",3.883478,
"DEU","LTINT","TOT","PC_PA","M","2008-11",3.5565,
"DEU","LTINT","TOT","PC_PA","M","2008-12",3.047895,
"DEU","LTINT","TOT","PC_PA","M","2009-01",3.070952,
"DEU","LTINT","TOT","PC_PA","M","2009-02",3.1275,
"DEU","LTINT","TOT","PC_PA","M","2009-03",3.019546,
"DEU","LTINT","TOT","PC_PA","M","2009-04",3.133,
"DEU","LTINT","TOT","PC_PA","M","2009-05",3.371,
"DEU","LTINT","TOT","PC_PA","M","2009-06",3.473636,
"DEU","LTINT","TOT","PC_PA","M","2009-07",3.337826,
"DEU","LTINT","TOT","PC_PA","M","2009-08",3.305238,
"DEU","LTINT","TOT","PC_PA","M","2009-09",3.263182,
"DEU","LTINT","TOT","PC_PA","M","2009-10",3.209091,
"DEU","LTINT","TOT","PC_PA","M","2009-11",3.217143,
"DEU","LTINT","TOT","PC_PA","M","2009-12",3.1385,
"DEU","LTINT","TOT","PC_PA","M","2010-01",3.2575,
"DEU","LTINT","TOT","PC_PA","M","2010-02",3.17,
"DEU","LTINT","TOT","PC_PA","M","2010-03",3.102174,
"DEU","LTINT","TOT","PC_PA","M","2010-04",3.0645,
"DEU","LTINT","TOT","PC_PA","M","2010-05",2.734286,
"DEU","LTINT","TOT","PC_PA","M","2010-06",2.543182,
"DEU","LTINT","TOT","PC_PA","M","2010-07",2.615909,
"DEU","LTINT","TOT","PC_PA","M","2010-08",2.35,
"DEU","LTINT","TOT","PC_PA","M","2010-09",2.300455,
"DEU","LTINT","TOT","PC_PA","M","2010-10",2.345714,
"DEU","LTINT","TOT","PC_PA","M","2010-11",2.532727,
"DEU","LTINT","TOT","PC_PA","M","2010-12",2.914762,
"DEU","LTINT","TOT","PC_PA","M","2011-01",3.016667,
"DEU","LTINT","TOT","PC_PA","M","2011-02",3.199,
"DEU","LTINT","TOT","PC_PA","M","2011-03",3.211739,
"DEU","LTINT","TOT","PC_PA","M","2011-04",3.340526,
"DEU","LTINT","TOT","PC_PA","M","2011-05",3.060909,
"DEU","LTINT","TOT","PC_PA","M","2011-06",2.890909,
"DEU","LTINT","TOT","PC_PA","M","2011-07",2.743809,
"DEU","LTINT","TOT","PC_PA","M","2011-08",2.213478,
"DEU","LTINT","TOT","PC_PA","M","2011-09",1.829091,
"DEU","LTINT","TOT","PC_PA","M","2011-10",2.002381,
"DEU","LTINT","TOT","PC_PA","M","2011-11",1.874091,
"DEU","LTINT","TOT","PC_PA","M","2011-12",1.927619,
"DEU","LTINT","TOT","PC_PA","M","2012-01",1.820909,
"DEU","LTINT","TOT","PC_PA","M","2012-02",1.851905,
"DEU","LTINT","TOT","PC_PA","M","2012-03",1.830455,
"DEU","LTINT","TOT","PC_PA","M","2012-04",1.62421,
"DEU","LTINT","TOT","PC_PA","M","2012-05",1.336818,
"DEU","LTINT","TOT","PC_PA","M","2012-06",1.300476,
"DEU","LTINT","TOT","PC_PA","M","2012-07",1.242273,
"DEU","LTINT","TOT","PC_PA","M","2012-08",1.341739,
"DEU","LTINT","TOT","PC_PA","M","2012-09",1.4905,
"DEU","LTINT","TOT","PC_PA","M","2012-10",1.466956,
"DEU","LTINT","TOT","PC_PA","M","2012-11",1.335909,
"DEU","LTINT","TOT","PC_PA","M","2012-12",1.299412,
"DEU","LTINT","TOT","PC_PA","M","2013-01",1.512273,
"DEU","LTINT","TOT","PC_PA","M","2013-02",1.5435,
"DEU","LTINT","TOT","PC_PA","M","2013-03",1.3545,
"DEU","LTINT","TOT","PC_PA","M","2013-04",1.19619,
"DEU","LTINT","TOT","PC_PA","M","2013-05",1.294091,
"DEU","LTINT","TOT","PC_PA","M","2013-06",1.5305,
"DEU","LTINT","TOT","PC_PA","M","2013-07",1.565652,
"DEU","LTINT","TOT","PC_PA","M","2013-08",1.735,
"DEU","LTINT","TOT","PC_PA","M","2013-09",1.888095,
"DEU","LTINT","TOT","PC_PA","M","2013-10",1.762174,
"DEU","LTINT","TOT","PC_PA","M","2013-11",1.677143,
"DEU","LTINT","TOT","PC_PA","M","2013-12",1.797778,
"DEU","LTINT","TOT","PC_PA","M","2014-01",1.755909,
"DEU","LTINT","TOT","PC_PA","M","2014-02",1.5585,
"DEU","LTINT","TOT","PC_PA","M","2014-03",1.508571,
"DEU","LTINT","TOT","PC_PA","M","2014-04",1.4565,
"DEU","LTINT","TOT","PC_PA","M","2014-05",1.327143,
"DEU","LTINT","TOT","PC_PA","M","2014-06",1.264286,
"DEU","LTINT","TOT","PC_PA","M","2014-07",1.114348,
"DEU","LTINT","TOT","PC_PA","M","2014-08",0.9561905,
"DEU","LTINT","TOT","PC_PA","M","2014-09",0.9213637,
"DEU","LTINT","TOT","PC_PA","M","2014-10",0.7909091,
"DEU","LTINT","TOT","PC_PA","M","2014-11",0.719,
"DEU","LTINT","TOT","PC_PA","M","2014-12",0.5889474,
"DEU","LTINT","TOT","PC_PA","M","2015-01",0.39,
"DEU","LTINT","TOT","PC_PA","M","2015-02",0.302,
"DEU","LTINT","TOT","PC_PA","M","2015-03",0.2272727,
"DEU","LTINT","TOT","PC_PA","M","2015-04",0.122,
"DEU","LTINT","TOT","PC_PA","M","2015-05",0.5557895,
"DEU","LTINT","TOT","PC_PA","M","2015-06",0.7927273,
"DEU","LTINT","TOT","PC_PA","M","2015-07",0.71,
"DEU","LTINT","TOT","PC_PA","M","2015-08",0.6085714,
"DEU","LTINT","TOT","PC_PA","M","2015-09",0.6540909,
"DEU","LTINT","TOT","PC_PA","M","2015-10",0.5181818,
"DEU","LTINT","TOT","PC_PA","M","2015-11",0.5161905,
"DEU","LTINT","TOT","PC_PA","M","2015-12",0.5455,
"DEU","LTINT","TOT","PC_PA","M","2016-01",0.4305,
"DEU","LTINT","TOT","PC_PA","M","2016-02",0.1728572,
"DEU","LTINT","TOT","PC_PA","M","2016-03",0.1714286,
"DEU","LTINT","TOT","PC_PA","M","2016-04",0.1342857,
"DEU","LTINT","TOT","PC_PA","M","2016-05",0.1328571,
"DEU","LTINT","TOT","PC_PA","M","2016-06",-0.01681818,
"DEU","LTINT","TOT","PC_PA","M","2016-07",-0.1542857,
"DEU","LTINT","TOT","PC_PA","M","2016-08",-0.1317391,
"DEU","LTINT","TOT","PC_PA","M","2016-09",-0.08409091,
"DEU","LTINT","TOT","PC_PA","M","2016-10",0.002,
"DEU","LTINT","TOT","PC_PA","M","2016-11",0.1890909,
"DEU","LTINT","TOT","PC_PA","M","2016-12",0.2519048,
"DEU","LTINT","TOT","PC_PA","M","2017-01",0.2509091,
"DEU","LTINT","TOT","PC_PA","M","2017-02",0.258,
"DEU","LTINT","TOT","PC_PA","M","2017-03",0.3482609,
"DEU","LTINT","TOT","PC_PA","M","2017-04",0.2255556,
"DEU","LTINT","TOT","PC_PA","M","2017-05",0.3363636,
"DEU","LTINT","TOT","PC_PA","M","2017-06",0.2504762,
"DEU","LTINT","TOT","PC_PA","M","2017-07",0.4557143,
"DEU","LTINT","TOT","PC_PA","M","2017-08",0.3460869,
"DEU","LTINT","TOT","PC_PA","M","2017-09",0.3471428,
"DEU","LTINT","TOT","PC_PA","M","2017-10",0.3725,
"DEU","LTINT","TOT","PC_PA","M","2017-11",0.3081818,
"DEU","LTINT","TOT","PC_PA","M","2017-12",0.2968421,
"DEU","LTINT","TOT","PC_PA","M","2018-01",0.4745454,
"DEU","LTINT","TOT","PC_PA","M","2018-02",0.659,
"DEU","LTINT","TOT","PC_PA","M","2018-03",0.5295238,
"DEU","LTINT","TOT","PC_PA","M","2018-04",0.48,
"DEU","LTINT","TOT","PC_PA","M","2018-05",0.45,
"DEU","LTINT","TOT","PC_PA","M","2018-06",0.3271429,
"DEU","LTINT","TOT","PC_PA","M","2018-07",0.2745455,
"DEU","LTINT","TOT","PC_PA","M","2018-08",0.2908696,
"DEU","LTINT","TOT","PC_PA","M","2018-09",0.3705,
"DEU","LTINT","TOT","PC_PA","M","2018-10",0.3990909,
"DEU","LTINT","TOT","PC_PA","M","2018-11",0.3140909,
"DEU","LTINT","TOT","PC_PA","M","2018-12",0.1870588,
"DEU","LTINT","TOT","PC_PA","M","2019-01",0.1327273,
"DEU","LTINT","TOT","PC_PA","M","2019-02",0.0555,
"DEU","LTINT","TOT","PC_PA","M","2019-03",0.01095238,
"DEU","LTINT","TOT","PC_PA","M","2019-04",-0.0395,
"DEU","LTINT","TOT","PC_PA","M","2019-05",-0.1345455,
"DEU","LTINT","TOT","PC_PA","M","2019-06",-0.3152632,
"DEU","LTINT","TOT","PC_PA","M","2019-07",-0.3882609,
"DEU","LTINT","TOT","PC_PA","M","2019-08",-0.6490909,
"DEU","LTINT","TOT","PC_PA","M","2019-09",-0.5947619,
"DEU","LTINT","TOT","PC_PA","M","2019-10",-0.4695455,
"DEU","LTINT","TOT","PC_PA","M","2019-11",-0.352381,
"DEU","LTINT","TOT","PC_PA","M","2019-12",-0.2994444,
"DEU","LTINT","TOT","PC_PA","M","2020-01",-0.3136364,
"DEU","LTINT","TOT","PC_PA","M","2020-02",-0.466,
"DEU","LTINT","TOT","PC_PA","M","2020-03",-0.5413637,
"DEU","LTINT","TOT","PC_PA","M","2020-04",-0.4495,
"DEU","LTINT","TOT","PC_PA","M","2020-05",-0.5165,
"DEU","LTINT","TOT","PC_PA","M","2020-06",-0.4342857,
"DEU","LTINT","TOT","PC_PA","M","2020-07",-0.5230435,
"DEU","LTINT","TOT","PC_PA","M","2020-08",-0.5233333,
"DEU","LTINT","TOT","PC_PA","M","2020-09",-0.5240909,
"DEU","LTINT","TOT","PC_PA","M","2020-10",-0.6072727,
"DEU","LTINT","TOT","PC_PA","M","2020-11",-0.6147619,
"DEU","LTINT","TOT","PC_PA","M","2020-12",-0.6185,
"DEU","LTINT","TOT","PC_PA","M","2021-01",-0.5835,
"DEU","LTINT","TOT","PC_PA","M","2021-02",-0.4455,
"DEU","LTINT","TOT","PC_PA","M","2021-03",-0.3647826,
"DEU","LTINT","TOT","PC_PA","M","2021-04",-0.325,
"DEU","LTINT","TOT","PC_PA","M","2021-05",-0.2235,
"DEU","LTINT","TOT","PC_PA","M","2021-06",-0.2886364,
"DEU","LTINT","TOT","PC_PA","M","2021-07",-0.4513636,
"DEU","LTINT","TOT","PC_PA","M","2021-08",-0.5386364,
"DEU","LTINT","TOT","PC_PA","M","2021-09",-0.3627273,
"DEU","LTINT","TOT","PC_PA","M","2021-10",-0.2042857,
"DEU","LTINT","TOT","PC_PA","M","2021-11",-0.3136364,
"DEU","LTINT","TOT","PC_PA","M","2021-12",-0.3842857,
"CAN","LTINT","TOT","PC_PA","M","2007-01",4.121818,
"CAN","LTINT","TOT","PC_PA","M","2007-02",4.1175,
"CAN","LTINT","TOT","PC_PA","M","2007-03",4.045909,
"CAN","LTINT","TOT","PC_PA","M","2007-04",4.1715,
"CAN","LTINT","TOT","PC_PA","M","2007-05",4.292727,
"CAN","LTINT","TOT","PC_PA","M","2007-06",4.612857,
"CAN","LTINT","TOT","PC_PA","M","2007-07",4.59,
"CAN","LTINT","TOT","PC_PA","M","2007-08",4.428637,
"CAN","LTINT","TOT","PC_PA","M","2007-09",4.356316,
"CAN","LTINT","TOT","PC_PA","M","2007-10",4.362727,
"CAN","LTINT","TOT","PC_PA","M","2007-11",4.121428,
"CAN","LTINT","TOT","PC_PA","M","2007-12",4.01579,
"CAN","LTINT","TOT","PC_PA","M","2008-01",3.848182,
"CAN","LTINT","TOT","PC_PA","M","2008-02",3.828,
"CAN","LTINT","TOT","PC_PA","M","2008-03",3.509,
"CAN","LTINT","TOT","PC_PA","M","2008-04",3.628636,
"CAN","LTINT","TOT","PC_PA","M","2008-05",3.621428,
"CAN","LTINT","TOT","PC_PA","M","2008-06",3.76,
"CAN","LTINT","TOT","PC_PA","M","2008-07",3.750454,
"CAN","LTINT","TOT","PC_PA","M","2008-08",3.5915,
"CAN","LTINT","TOT","PC_PA","M","2008-09",3.540952,
"CAN","LTINT","TOT","PC_PA","M","2008-10",3.668182,
"CAN","LTINT","TOT","PC_PA","M","2008-11",3.571579,
"CAN","LTINT","TOT","PC_PA","M","2008-12",2.945714,
"CAN","LTINT","TOT","PC_PA","M","2009-01",2.812381,
"CAN","LTINT","TOT","PC_PA","M","2009-02",2.960526,
"CAN","LTINT","TOT","PC_PA","M","2009-03",2.885909,
"CAN","LTINT","TOT","PC_PA","M","2009-04",2.954286,
"CAN","LTINT","TOT","PC_PA","M","2009-05",3.202,
"CAN","LTINT","TOT","PC_PA","M","2009-06",3.459091,
"CAN","LTINT","TOT","PC_PA","M","2009-07",3.429091,
"CAN","LTINT","TOT","PC_PA","M","2009-08",3.4645,
"CAN","LTINT","TOT","PC_PA","M","2009-09",3.365714,
"CAN","LTINT","TOT","PC_PA","M","2009-10",3.425238,
"CAN","LTINT","TOT","PC_PA","M","2009-11",3.3925,
"CAN","LTINT","TOT","PC_PA","M","2009-12",3.41619,
"CAN","LTINT","TOT","PC_PA","M","2010-01",3.485,
"CAN","LTINT","TOT","PC_PA","M","2010-02",3.423684,
"CAN","LTINT","TOT","PC_PA","M","2010-03",3.490435,
"CAN","LTINT","TOT","PC_PA","M","2010-04",3.67,
"CAN","LTINT","TOT","PC_PA","M","2010-05",3.4455,
"CAN","LTINT","TOT","PC_PA","M","2010-06",3.297727,
"CAN","LTINT","TOT","PC_PA","M","2010-07",3.185238,
"CAN","LTINT","TOT","PC_PA","M","2010-08",2.949524,
"CAN","LTINT","TOT","PC_PA","M","2010-09",2.881428,
"CAN","LTINT","TOT","PC_PA","M","2010-10",2.766,
"CAN","LTINT","TOT","PC_PA","M","2010-11",3.022381,
"CAN","LTINT","TOT","PC_PA","M","2010-12",3.204762,
"CAN","LTINT","TOT","PC_PA","M","2011-01",3.253,
"CAN","LTINT","TOT","PC_PA","M","2011-02",3.417368,
"CAN","LTINT","TOT","PC_PA","M","2011-03",3.266522,
"CAN","LTINT","TOT","PC_PA","M","2011-04",3.328,
"CAN","LTINT","TOT","PC_PA","M","2011-05",3.151905,
"CAN","LTINT","TOT","PC_PA","M","2011-06",2.987727,
"CAN","LTINT","TOT","PC_PA","M","2011-07",2.9385,
"CAN","LTINT","TOT","PC_PA","M","2011-08",2.446364,
"CAN","LTINT","TOT","PC_PA","M","2011-09",2.196667,
"CAN","LTINT","TOT","PC_PA","M","2011-10",2.296,
"CAN","LTINT","TOT","PC_PA","M","2011-11",2.122381,
"CAN","LTINT","TOT","PC_PA","M","2011-12",1.992,
"CAN","LTINT","TOT","PC_PA","M","2012-01",1.98,
"CAN","LTINT","TOT","PC_PA","M","2012-02",2.021,
"CAN","LTINT","TOT","PC_PA","M","2012-03",2.106818,
